Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location
Sieci komputerowe,11/06/2025,9:45am,11/06/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Algorytmy macierzowe,11/07/2025,4:45pm,11/07/2025,6:15pm,false,Grupa: 2 Prowadzący: dr inż. Tomasz Służalec,D17 sala 4.28
Architektura Danych i Zarządzanie Informacją,11/07/2025,6:30pm,11/07/2025,8:00pm,false,Grupa: 3 Prowadzący: mgr inż. Jacek Nawrot,D17 sala 4.31
Teoria kompilacji,11/10/2025,6:30pm,11/10/2025,8:00pm,false,Grupa: 4 Prowadzący: dr inż. Janusz Majewski,D17 sala 3.27c
Teoria współbieżności,11/12/2025,8:00am,11/12/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Technika mikroprocesorowa,11/13/2025,8:00am,11/13/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,11/13/2025,9:45am,11/13/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Grafika komputerowa,11/17/2025,6:30pm,11/17/2025,8:00pm,false,Grupa: 5 Prowadzący: dr hab. inż. Tadeusz Szuba,C2 sala 214
Teoria współbieżności,11/18/2025,8:00am,11/18/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Podstawy sztucznej inteligencji,11/18/2025,9:45am,11/18/2025,11:15am,false,Grupa: 14 Prowadzący: mgr inż. Andrzej Brodzicki,D17 sala 3.27d
Teoria obliczeń i złożoności obliczeniowej,11/19/2025,8:00am,11/19/2025,9:30am,false,Grupa: 4 Prowadzący: mgr inż. Łukasz Janeczko,D17 sala 3.27b
Technika mikroprocesorowa,11/20/2025,8:00am,11/20/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,11/20/2025,9:45am,11/20/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Architektura Danych i Zarządzanie Informacją,11/21/2025,6:30pm,11/21/2025,8:00pm,false,Grupa: 3 Prowadzący: mgr inż. Jacek Nawrot,D17 sala 4.31
Teoria kompilacji,11/24/2025,6:30pm,11/24/2025,8:00pm,false,Grupa: 4 Prowadzący: dr inż. Janusz Majewski,D17 sala 3.27c
Teoria współbieżności,11/25/2025,8:00am,11/25/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Teoria kompilacji,11/26/2025,8:00am,11/26/2025,9:30am,false,Grupa: 1 Prowadzący: dr inż. Marcin Kuta,D17 sala 3.22
Technika mikroprocesorowa,11/27/2025,8:00am,11/27/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,11/27/2025,9:45am,11/27/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Grafika komputerowa,12/01/2025,6:30pm,12/01/2025,8:00pm,false,Grupa: 5 Prowadzący: dr hab. inż. Tadeusz Szuba,C2 sala 214
Teoria współbieżności,12/02/2025,8:00am,12/02/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Podstawy sztucznej inteligencji,12/02/2025,9:45am,12/02/2025,11:15am,false,Grupa: 14 Prowadzący: mgr inż. Andrzej Brodzicki,D17 sala 3.27d
Teoria obliczeń i złożoności obliczeniowej,12/03/2025,8:00am,12/03/2025,9:30am,false,Grupa: 4 Prowadzący: mgr inż. Łukasz Janeczko,D17 sala 3.27b
Technika mikroprocesorowa,12/04/2025,8:00am,12/04/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,12/04/2025,9:45am,12/04/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Algorytmy macierzowe,12/05/2025,4:45pm,12/05/2025,6:15pm,false,Grupa: 2 Prowadzący: dr inż. Tomasz Służalec,D17 sala 4.28
Architektura Danych i Zarządzanie Informacją,12/05/2025,6:30pm,12/05/2025,8:00pm,false,Grupa: 3 Prowadzący: mgr inż. Jacek Nawrot,D17 sala 4.31
Teoria kompilacji,12/08/2025,6:30pm,12/08/2025,8:00pm,false,Grupa: 4 Prowadzący: dr inż. Janusz Majewski,D17 sala 3.27c
Teoria współbieżności,12/09/2025,8:00am,12/09/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Teoria kompilacji,12/10/2025,8:00am,12/10/2025,9:30am,false,Grupa: 1 Prowadzący: dr inż. Marcin Kuta,D17 sala 3.22
Technika mikroprocesorowa,12/11/2025,8:00am,12/11/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,12/11/2025,9:45am,12/11/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Grafika komputerowa,12/15/2025,6:30pm,12/15/2025,8:00pm,false,Grupa: 5 Prowadzący: dr hab. inż. Tadeusz Szuba,C2 sala 214
Teoria współbieżności,12/16/2025,8:00am,12/16/2025,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Podstawy sztucznej inteligencji,12/16/2025,9:45am,12/16/2025,11:15am,false,Grupa: 14 Prowadzący: mgr inż. Andrzej Brodzicki,D17 sala 3.27d
Teoria obliczeń i złożoności obliczeniowej,12/17/2025,8:00am,12/17/2025,9:30am,false,Grupa: 4 Prowadzący: mgr inż. Łukasz Janeczko,D17 sala 3.27b
Technika mikroprocesorowa,12/18/2025,8:00am,12/18/2025,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,12/18/2025,9:45am,12/18/2025,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Algorytmy macierzowe,12/19/2025,4:45pm,12/19/2025,6:15pm,false,Grupa: 2 Prowadzący: dr inż. Tomasz Służalec,D17 sala 4.28
Architektura Danych i Zarządzanie Informacją,12/19/2025,6:30pm,12/19/2025,8:00pm,false,Grupa: 3 Prowadzący: mgr inż. Jacek Nawrot,D17 sala 4.31
Teoria kompilacji,01/07/2026,8:00am,01/07/2026,9:30am,false,Grupa: 1 Prowadzący: dr inż. Marcin Kuta,D17 sala 3.22
Teoria kompilacji,01/08/2026,6:30pm,01/08/2026,8:00pm,false,Grupa: 4 Prowadzący: dr inż. Janusz Majewski,D17 sala 3.27c
Teoria współbieżności,01/09/2026,8:00am,01/09/2026,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Grafika komputerowa,01/12/2026,6:30pm,01/12/2026,8:00pm,false,Grupa: 5 Prowadzący: dr hab. inż. Tadeusz Szuba,C2 sala 214
Teoria współbieżności,01/13/2026,8:00am,01/13/2026,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Podstawy sztucznej inteligencji,01/13/2026,9:45am,01/13/2026,11:15am,false,Grupa: 14 Prowadzący: mgr inż. Andrzej Brodzicki,D17 sala 3.27d
Teoria obliczeń i złożoności obliczeniowej,01/14/2026,8:00am,01/14/2026,9:30am,false,Grupa: 4 Prowadzący: mgr inż. Łukasz Janeczko,D17 sala 3.27b
Technika mikroprocesorowa,01/15/2026,8:00am,01/15/2026,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,01/15/2026,9:45am,01/15/2026,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Algorytmy macierzowe,01/16/2026,4:45pm,01/16/2026,6:15pm,false,Grupa: 2 Prowadzący: dr inż. Tomasz Służalec,D17 sala 4.28
Architektura Danych i Zarządzanie Informacją,01/16/2026,6:30pm,01/16/2026,8:00pm,false,Grupa: 3 Prowadzący: mgr inż. Jacek Nawrot,D17 sala 4.31
Teoria kompilacji,01/19/2026,6:30pm,01/19/2026,8:00pm,false,Grupa: 4 Prowadzący: dr inż. Janusz Majewski,D17 sala 3.27c
Teoria współbieżności,01/20/2026,8:00am,01/20/2026,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Teoria kompilacji,01/21/2026,8:00am,01/21/2026,9:30am,false,Grupa: 1 Prowadzący: dr inż. Marcin Kuta,D17 sala 3.22
Technika mikroprocesorowa,01/22/2026,8:00am,01/22/2026,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,01/22/2026,9:45am,01/22/2026,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Teoria współbieżności,01/27/2026,8:00am,01/27/2026,9:30am,false,Grupa: 3 Prowadzący: dr inż. Katarzyna Rycerz,D17 sala 4.31
Teoria kompilacji,01/28/2026,8:00am,01/28/2026,9:30am,false,Grupa: 1 Prowadzący: dr inż. Marcin Kuta,D17 sala 3.22
Technika mikroprocesorowa,01/29/2026,8:00am,01/29/2026,9:30am,false,Grupa: 5 Prowadzący: mgr inż. Katarzyna Heryan,D17 sala 3.24
Sieci komputerowe,01/29/2026,9:45am,01/29/2026,11:15am,false,Grupa: 9 Prowadzący: dr inż. Sławomir Zieliński,D17 sala 4.23
Algorytmy macierzowe,01/30/2026,4:45pm,01/30/2026,6:15pm,false,Grupa: 2 Prowadzący: dr inż. Tomasz Służalec,D17 sala 4.28
Architektura Danych i Zarządzanie Informacją,01/30/2026,6:30pm,01/30/2026,8:00pm,false,Grupa: 3 Prowadzący: mgr inż. Jacek Nawrot,D17 sala 4.31
